start date,name,sport type,distance (meters),moving time (seconds),elapsed time (seconds),total elevation gain (meters),average speed (meters/second),max speed (meters/second),average watts (watts),max watts (watts),average heartrate (bpm),max heartrate (bpm),kilojoules (kJ),elev high (meters),elev low (meters),timezone,achievement count,kudos count,athlete count
2024-10-19T17:19:36Z,HOCR,Rowing,4426.8,854,854,5.2,5.184,6.3,,,,,,5.0,0.8,(GMT-05:00) America/New_York,10,15,10
2024-10-19T16:39:06Z,Lunch Run,Run,5111.1,1394,1700,11.8,3.666,6.003,,,,,,6.6,1.0,(GMT-05:00) America/New_York,0,0,1
2024-10-18T21:03:31Z,Afternoon Run,Run,11712.3,2884,3388,31.0,4.061,7.06,120.4,477.0,140.8,177.0,347.2,4.2,-2.0,(GMT-05:00) America/New_York,0,0,2
2024-10-17T12:02:52Z,Morning Run,Rowing,11983.9,3336,3920,53.2,3.592,8.04,88.1,214.0,136.2,169.0,294.0,4.2,-3.0,(GMT-05:00) America/New_York,4,0,2
2024-10-14T21:08:15Z,Afternoon Run,Run,8862.5,2802,2826,52.4,3.163,4.336,297.5,416.0,135.7,145.0,833.5,7.6,-2.4,(GMT-05:00) America/New_York,1,0,1
2024-10-14T13:02:56Z,HOCR Test Lap,Rowing,4526.8,882,882,11.8,5.132,7.22,4.3,88.0,167.9,174.0,3.8,3.2,-0.8,(GMT-05:00) America/New_York,17,12,2
2024-10-12T12:33:07Z,Morning Run,Rowing,16623.3,5219,5807,38.0,3.185,7.84,69.7,842.0,136.8,179.0,363.7,4.8,-1.4,(GMT-05:00) America/New_York,2,0,2
2024-10-11T20:10:01Z,Steady Run,Run,11600.0,2984,3042,56.6,3.887,5.646,378.5,1219.0,138.7,161.0,1129.5,10.0,-3.2,(GMT-05:00) America/New_York,33,22,1
2024-10-11T11:40:06Z,Morning Run,Rowing,15759.4,4046,4678,127.2,3.895,6.86,65.2,138.0,131.0,157.0,263.9,2.6,-5.6,(GMT-05:00) America/New_York,4,0,2
2024-10-10T11:32:22Z,Morning Run,Run,15196.7,3777,4747,39.4,4.023,8.882,91.4,354.0,140.2,175.0,345.2,4.6,-1.0,(GMT-05:00) America/New_York,0,0,2
2024-10-07T21:37:41Z,Afternoon Run,Rowing,14936.3,4007,4621,145.2,3.728,9.28,118.6,214.0,146.5,180.0,475.1,3.2,-8.4,(GMT-05:00) America/New_York,12,0,2
2024-10-07T11:37:44Z,Morning Run,Rowing,16455.4,4088,4495,78.4,4.025,7.98,83.1,273.0,138.9,161.0,339.6,5.6,-6.2,(GMT-05:00) America/New_York,21,0,3
2024-10-05T12:37:47Z,Morning Run,Rowing,13309.4,3492,5309,55.6,3.811,8.16,64.5,638.0,135.1,177.0,225.1,4.2,-2.8,(GMT-05:00) America/New_York,13,0,2
2024-10-04T20:37:09Z,Afternoon Run,Run,11086.3,3156,3509,71.6,3.513,5.818,334.3,590.0,142.7,168.0,1055.2,15.4,0.6,(GMT-05:00) America/New_York,1,0,1
2024-10-04T11:32:17Z,Morning Run,Rowing,11897.5,3059,3757,40.8,3.889,8.62,63.0,342.0,138.2,169.0,192.7,6.4,-3.2,(GMT-05:00) America/New_York,6,0,3
2024-10-03T11:31:16Z,Morning Run,Rowing,12448.5,3490,4198,47.4,3.567,9.22,78.3,258.0,136.0,183.0,273.4,3.6,-3.2,(GMT-05:00) America/New_York,0,0,3
2024-10-02T21:42:57Z,Afternoon Run,Run,7635.6,1996,2686,20.8,3.825,9.626,78.5,114.0,93.3,153.0,156.7,8.4,-1.0,(GMT-05:00) America/New_York,0,0,2
2024-10-01T11:35:12Z,Morning Run,Rowing,15257.2,3872,4267,48.2,3.94,7.12,85.0,255.0,145.8,172.0,329.0,8.6,0.2,(GMT-05:00) America/New_York,29,0,2
2024-09-30T21:57:09Z,Afternoon Run,Rowing,11408.9,3092,3358,40.0,3.69,6.5,,,,,,4.4,-3.6,(GMT-05:00) America/New_York,4,0,2
2024-09-30T11:29:34Z,Morning Run,Rowing,16983.5,4134,5765,55.0,4.108,7.94,70.8,187.0,136.6,160.0,292.8,7.0,-2.0,(GMT-05:00) America/New_York,2,0,2
2024-09-27T20:31:31Z,Afternoon Run,Run,11504.0,3187,4093,82.0,3.61,5.96,352.9,641.0,136.0,170.0,1124.5,11.0,2.0,(GMT-05:00) America/New_York,25,0,1
2024-09-27T11:49:14Z,Morning Run,Rowing,13699.2,3502,3757,37.2,3.912,6.62,302.9,869.0,145.9,177.0,1060.9,6.6,0.6,(GMT-05:00) America/New_York,0,0,2
2024-09-26T11:34:06Z,Morning Run,Rowing,16975.8,4358,5036,45.0,3.895,7.58,60.1,236.0,149.1,182.0,262.0,5.8,-1.4,(GMT-05:00) America/New_York,11,0,1
2024-09-25T21:46:47Z,Afternoon Run,Rowing,10127.1,3263,3591,61.6,3.104,6.22,,,136.3,159.0,,4.2,-5.4,(GMT-05:00) America/New_York,0,0,2
2024-09-24T11:44:09Z,Morning Row,Rowing,0.0,4099,4099,0.0,0.0,0.0,,,133.2,166.0,,0.0,0.0,(GMT-04:00) America/Anguilla,0,0,1
2024-09-23T21:15:59Z,Afternoon Run,Rowing,7444.4,2576,2837,51.8,2.89,8.68,,,146.7,182.0,,7.4,-1.8,(GMT-05:00) America/New_York,8,0,2
2024-09-23T11:36:16Z,Morning Run,Rowing,16283.1,4116,4660,36.2,3.956,6.92,,,144.0,173.0,,4.8,-0.2,(GMT-05:00) America/New_York,30,0,2
2024-09-20T20:57:39Z,Afternoon Run,Run,6917.5,1923,1936,63.0,3.597,4.846,,,132.1,151.0,,11.2,1.2,(GMT-05:00) America/New_York,0,0,1
2024-09-20T11:33:13Z,Morning Run,Run,13433.0,3646,4225,34.0,3.684,6.328,,,134.1,157.0,,5.6,0.6,(GMT-05:00) America/New_York,0,0,2
2024-09-19T11:18:41Z,Morning Run,Run,14064.8,3672,4614,46.8,3.83,7.512,,,140.0,175.0,,5.6,-2.0,(GMT-05:00) America/New_York,0,0,1
2024-09-18T21:38:44Z,Afternoon Run,Run,11610.6,3050,3955,37.8,3.807,6.84,,,129.1,151.0,,4.6,-2.0,(GMT-05:00) America/New_York,0,0,1
2024-09-16T21:43:51Z,Afternoon Row,Rowing,0.0,1003,1003,0.0,0.0,0.0,,,187.5,199.0,,0.0,0.0,(GMT-04:00) America/Anguilla,0,0,1
2024-09-16T11:34:47Z,Morning Run,Rowing,13825.7,3959,4814,44.4,3.492,7.58,,,118.6,158.0,,8.0,-0.6,(GMT-05:00) America/New_York,0,0,1
2024-09-15T12:33:17Z,Morning Run,Run,8053.8,2302,2315,55.2,3.499,5.458,,,140.9,173.0,,12.2,-0.8,(GMT-05:00) America/New_York,0,0,1
2024-09-14T12:32:08Z,Morning Run,Rowing,16226.7,4520,5090,67.0,3.59,8.02,,,148.9,187.0,,7.4,-3.0,(GMT-05:00) America/New_York,7,0,2
